product_id,old_sku,new_sku,name
24530,,TZ-GRAP-GIGA-5C10,"Gigabyte GeForce Eagle / ICE 5060 OC 8GB Graphic Card"
24465,,TZ-MOTH-ASRO-65EF,"ASROCK B850I LIGHTNING WIFI ITX Motherboard"
24440,,TZ-CHAI-SEAT-FE72,"SeatZone E1/E1PRO Fully Synchronized Ergonomic Office Chair"
24400,,TZ-PREO-PREO-E4C1,"*Pre Order - Retroid Pocket Classic"
24384,,TZ-CPUC-THER-2BB2,"Thermalright Frozen Warframe Pro 360 ARGB - Black/White AIO"
24377,,TZ-PCAC-INTE-95D4,"INTEL AX200 PCIE WIFI 6 CARD + BLUETOOTH 5.1 PCIE Wifi Card"
24370,,TZ-PCPA-KLEV-F940,"KLEVV Cras V RGB / ROG Certified DDR5 7400/7200 MT/s CL34 (2x16GB) Ram"
24306,,TZ-GRAP-ASUS-C4C4,"ASUS ROG Astral GeForce RTX 5080 16GB GDDR7 OC Edition Graphic Card"
24286,,TZ-CASE-DEEP-349C,"DEEPCOOL CH170/CH170 PLUS DIGITAL Black / White MATX/ITX PC Case"
24078,,TZ-POWE-FSPV-0F55,"FSP VITA GD 750W 80+Gold Non Modular (ATX3.1+Gen 5.1) Power Supply Unit"
24058,,TZ-PREO-NINT-5019,"Nintendo Switch Crash Bandicoot N. Sane Trilogy"
24055,,TZ-PREO-NINT-A4D1,"Nintendo Switch Fire Emblem Warriors Game"
24052,,TZ-PREO-NINT-27D6,"Nintendo Switch Atelier Escha &amp; Logy: Alchemists of the Dusk Sky DX"
24049,,TZ-PREO-NINT-E8D7,"Nintendo Switch Atelier Rorona The Alchemist Of Arland Dx"
24047,,TZ-PREO-NINT-BE0D,"Nintendo Switch Atelier Ryza: Ever Darkness &amp; the Secret Hideout Game"
24045,,TZ-PREO-NINT-F9F1,"Nintendo Switch Nelke &amp; the Legendary Alchemists: Ateliers of the New World switch game"
24021,,TZ-MOTH-GIGA-B19D,"Gigabyte B850 AORUS ELITE WIFI7 Motherboard"
23926,,TZ-GADG-HPTH-CC43,"HP Thunderbolt Dock 280W / 120W / G4 / G2"
23921,,TZ-HEAD-JABR-CC55,"Jabra Engage 65 Convertible Headset"
23845,,TZ-ACCE-DJIO-CB5B,"DJI Osmo Pocket 3 Magnetic ND Filters Set"
23840,,TZ-ACCE-KAMP-6D16,"K&amp;F CONCEPT DJI OSMO Pocket 3 Action camera filter ND4 + ND8 + ND16 + ND32"
23835,,TZ-GRAP-ZOTA-AA53,"ZOTAC GAMING RTX 5060 Ti 8GB / 16GB Twin Edge OC Black/White Graphic Card"
23819,,TZ-ACCE-PLAY-F3A9,"Playstation PS5 Slim Disc Drive For Digital Console"
23804,,TZ-GRAP-GIGA-3DD2,"Gigabyte RTX 5060 Ti GAMING OC 16G Graphic Card"
23746,,TZ-HAND-RETR-3E7B,"Retroid Pocket Flip 2 128GB"
23728,,TZ-ACCE-PS5L-7B05,"PS5 Limited 30th Anniversary Faceplate with Logo Sticker For PS5 Slim Digital/Disc"
23670,,TZ-CASE-DEEP-ABDF,"Deepcool CG530 + 4F (Fans) Black/White PC Case"
23353,,TZ-BRAN-ASSA-89EA,"Assassin's Creed Shadows (R2)"
23229,,TZ-MOTH-Z890-93CA,"Z890M Gigabyte AORUS ELITE WIFI7 Motherboard"
23149,,TZ-READ-XMAS-897D,"XMAS SALE - Intel i5-14400F RTX 5050 16GB 512GB Deepcool CH160 Plus Black / White Gaming MATX PC"
23139,,TZ-MOTH-GIGA-AE91,"Gigabyte B650M GAMING PLUS WIFI Motherboard"
23098,,TZ-KEYB-ROGS-DA2F,"ROG Strix Scope RX TKL Wireless Deluxe Gaming Keyboard"
23084,,TZ-MOUS-LOGI-9C51,"Logitech G Pro X Superlight 2 / DEX Gaming Mouse"
23080,,TZ-BRAN-WWE2-17A9,"WWE 2K25 Standard Edition"
23078,,TZ-BRAN-MINE-471D,"Minecraft"
22913,,TZ-CPUC-BEQU-3E45,"be quiet! Silent Loop 2 360 ARGB Liquid Cooler(LGA1700/AM5)"
22870,,TZ-AIRO-LOOI-C10C,"LOOI AI Robot ChatGPT Integrated Biomimetic Behavior System AI with Personality 10W Wireless Phone Charging"
22775,,TZ-GRAP-GIGA-DC7E,"Gigabyte RTX 5070 EAGLE OC SFF 12GB Graphic Card"
22768,,TZ-ACCE-PS5C-2FB6,"PS5 Controller Dual Sense Monster Hunter Wilds Limited Edition"
22701,,TZ-GRAP-GIGA-5056,"Gigabyte Aorus Master /Gaming OC / Aero / Windforce / Eagle ICE RTX 5090/5080/5070 TI/5070/5060TI/5060/5050 Graphic Card"
22649,,TZ-GEN-GIGA-A378,"Gigabyte GeForce RTX 5070Ti | Aero OC 16GB GPU"
22478,,TZ-LAPT-ACER-8053,"Acer Swift Edge FE16-44-R901 Thin &amp; Light Laptop 16-Inches WQXGA+(3200x2000) OLED Display with 120Hz, AMD Ryzen 7 8840U processor,16GB RAM and 1TB SSD"
22443,,TZ-TABL-HUAW-9AF9,"Huawei MatePad Air 11.5 inch Silver 256GB"
22423,,TZ-HAND-GALA-E597,"Galaxy Z Fold 6 White 256GB"
22418,,TZ-HAND-IPHO-2206,"iPhone 15 Pro Max 1 TB Black Titanium"
22397,,TZ-CPUC-DEEP-65EF,"Deepcool AK620 Digital Pro CPU Cooler"
22389,,TZ-GRAP-GIGA-D006,"Gigabyte GeForce RTX 5070Ti | Eagle OC SFF 16GB"
22298,,TZ-GRAP-ZOTA-4707,"ZOTAC GAMING GeForce RTX 5090 / RTX 5080 / RTX 5070 Ti / RTX 5070 SOLID OC Gaming Graphic Card"
